traffic,listening_to_loud_music,flood,new_driver,rash,distraction,overloading,night_driving,bad_road,phone_use,high_way,urnban_city,excitement,tricycle_drivers,fatigue,alcohol,totalKilometers,harshBraking,frequency
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85798332,24,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6274065,43,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41221666,39,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.817366051,60,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997078195,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.696953503,42,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.522360638,12,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.779421556,32,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37937802,131,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.661987229,93,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.239662667,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.288319986,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052783404,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.183274928,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.380867592,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.984154755,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.330768481,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.611081024,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.935380358,57,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22834898,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644202321,12,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22834898,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59052713,29,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4164343,17,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.336848366,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349957274,7,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999844048,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.36731242,137,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.93927831,781,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.55947773,75,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.247699772,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538636271,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665179389,21,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02437231,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13285958,18,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.472498363,44,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.79748313,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.56127812,218,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.84885748,785,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41720914,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.60205708,26,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.72929337,221,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92550679,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16946943,23,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.813204106,28,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.13665956,923,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95699303,114,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.74358318,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.139796214,104,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61720637,91,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06065667,196,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395642248,5,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.440363995,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.694913477,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2101154,1372,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.56322696,266,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8175705,92,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.03267579,1475,17
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.53644973,989,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52216879,401,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.2320169,2840,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.37452846,1266,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.68568625,898,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.8409391,3390,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.72197129,1327,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23453692,62,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.72197129,1327,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.23108743,653,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.39878228,1846,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.9960185,3920,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.34076957,1450,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.50422573,78,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.7159206,2207,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.926814674,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273850725,34,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.67598983,96,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74174953,34,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.4588397,129,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.3101192,658,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73522282,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.217005,145,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19807693,59,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0662154,45,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.230460787,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90011167,25,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23564011,162,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.31253418,419,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.530707141,135,38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4476347,336,76
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4476347,336,76
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91133066,115,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.984435341,134,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.956718839,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.091812994,11,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.208688262,52,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16319617,228,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56674876,156,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49281624,17,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2093801,672,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.557897204,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.438124424,316,58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.300528697,80,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.231535223,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.541260412,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34934748,9,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.870480687,14,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.96701305,349,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619952258,197,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50859325,38,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52454381,74,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92730478,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.830155312,135,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.7667,1554,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.491887103,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.914626203,62,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12742368,479,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.8130535,588,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.08280973,536,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91133066,115,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.984435341,134,27
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,106.8640836,1486,14
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,70.77346314,409,6
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.55593568,463,17
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,175.335928,1981,11
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,68.14226614,1053,15
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.1184975,186,60
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.497830231,1,2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90.12499618,109,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.557633471,36,10
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.866251202,11,2
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,120.6570085,476,4
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.542157174,19,7
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.24297814,143,5
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,141.0922267,2873,20
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.679193903,17,6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5552268,69,19
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.27059293,771,9
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.461170796,64,12
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39.79372477,249,6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47.50620015,2,0
